Single Label  Derived,"atypical, atypical ductal hyperplasia, na","atypical, atypical lobular hyperplasia, na","atypical, fibroadenoma, na","atypical, flat epithelial atypia, na","atypical, phyllodes, na","benign, apocrine metaplasia, na","benign, cyst, na","benign, mastitis, na","benign, papilloma, na","benign, pseudoangiomatous stromal hyperplasia, na","benign, radial scar, na"," benign, sclerosing adenosis, na","benign, usual ductal hyperplasia, na","breast cancer, in situ, ductal","breast cancer, in situ, lobular","breast cancer, in situ, na","breast cancer, invasive, ductal","breast cancer, invasive, lobular","breast cancer, invasive, na","breast cancer, metastasis, na","breast cancer, na, ductal","breast cancer, na, lobular","breast cancer, na, na","lymphoma, na, na",Scored Labels
"benign, cyst, na",3.90E-08,2.21E-06,9.61E-08,1.58E-07,7.43E-07,2.56E-07,0.999998808,5.50E-07,3.73E-07,6.65E-08,2.22E-06,5.13E-08,2.37E-08,1.91E-07,7.79E-09,2.07E-08,1.17E-07,3.38E-07,1.98E-08,6.56E-07,5.84E-07,6.05E-08,1.94E-08,3.40E-07,"benign, cyst, na"
"atypical, fibroadenoma, na",1.25E-06,2.22E-06,0.999997973,1.09E-07,2.25E-06,9.68E-06,6.69E-06,0.000148258,3.03E-06,1.88E-09,1.00E-06,1.89E-05,2.59E-06,5.32E-07,4.31E-07,5.47E-07,4.81E-05,7.91E-05,3.23E-07,7.23E-06,6.02E-06,8.78E-07,1.77E-05,8.79E-06,"atypical, fibroadenoma, na"
"breast cancer, invasive, ductal",6.73E-12,4.57E-11,1.21E-08,1.29E-10,3.23E-08,1.35E-13,2.27E-11,1.68E-09,3.24E-09,5.91E-11,5.41E-10,3.71E-11,4.99E-14,4.55E-06,3.82E-12,4.68E-09,0.999348342,1.08E-07,5.42E-09,2.78E-09,8.44E-10,7.94E-12,3.41E-14,4.13E-08,"breast cancer, invasive, ductal"
"benign, cyst, na",6.17E-08,1.62E-06,6.70E-08,1.06E-07,9.76E-07,6.18E-06,0.999985754,5.98E-07,3.29E-07,9.32E-08,1.80E-06,5.19E-08,1.66E-07,1.41E-07,9.69E-09,3.22E-08,2.02E-07,8.20E-07,5.96E-08,6.25E-07,1.43E-07,3.07E-08,3.14E-08,3.53E-07,"benign, cyst, na"
"benign, cyst, na",3.90E-08,2.21E-06,9.61E-08,1.58E-07,7.43E-07,2.56E-07,0.999998808,5.50E-07,3.73E-07,6.65E-08,2.22E-06,5.13E-08,2.37E-08,1.91E-07,7.79E-09,2.07E-08,1.17E-07,3.38E-07,1.98E-08,6.56E-07,5.84E-07,6.05E-08,1.94E-08,3.40E-07,"benign, cyst, na"
"breast cancer, invasive, ductal",2.34E-10,4.51E-12,1.31E-09,4.69E-10,8.70E-08,1.93E-10,2.64E-09,1.93E-07,2.31E-08,1.44E-09,2.20E-09,9.83E-10,1.58E-10,1.47E-08,2.22E-14,6.07E-08,0.999998748,1.06E-06,2.34E-07,6.46E-07,1.11E-08,1.65E-09,2.17E-09,4.23E-07,"breast cancer, invasive, ductal"
"breast cancer, na, na",3.05E-07,1.70E-07,7.51E-08,2.14E-08,1.24E-07,4.69E-07,1.51E-07,2.71E-06,3.48E-08,2.40E-09,2.16E-08,1.02E-07,1.52E-07,4.10E-08,1.27E-09,3.66E-07,1.35E-07,9.19E-07,1.18E-07,1.66E-06,3.79E-09,4.76E-07,0.999999881,4.01E-07,"breast cancer, na, na"
"atypical, flat epithelial atypia, na",1.64E-06,4.17E-06,2.59E-10,0.985168219,0.002899166,1.37E-09,1.64E-07,1.35E-09,4.49E-08,5.93E-07,8.08E-08,3.78E-10,4.98E-06,1.47E-05,4.13E-05,2.68E-05,3.47E-10,5.03E-08,4.97E-09,1.65E-05,2.06E-07,9.24E-08,0.003441263,4.34E-07,"atypical, flat epithelial atypia, na"
"atypical, fibroadenoma, na",3.33E-09,1.83E-07,1,1.93E-07,9.99E-08,1.01E-10,4.70E-08,3.66E-09,2.35E-09,6.98E-12,2.24E-08,4.06E-09,8.68E-13,1.39E-07,5.38E-09,1.04E-08,7.87E-07,3.69E-08,1.85E-11,1.84E-07,2.20E-07,1.02E-09,2.74E-10,2.13E-08,"atypical, fibroadenoma, na"
"benign, radial scar, na",2.75E-07,6.03E-06,5.00E-08,2.60E-07,2.20E-06,0.999999702,7.59E-08,3.50E-07,2.00E-09,1.62E-07,6.19E-05,2.79E-07,1.61E-07,5.92E-05,7.44E-08,1.22E-06,7.97E-08,8.80E-07,2.46E-07,3.99E-07,7.88E-08,9.11E-10,2.05E-06,8.71E-07,"benign, apocrine metaplasia, na"
