Single Label  Derived,"atypical, atypical ductal hyperplasia, na","atypical, atypical lobular hyperplasia, na","atypical, fibroadenoma, na","atypical, flat epithelial atypia, na","atypical, phyllodes, na","benign, apocrine metaplasia, na","benign, cyst, na","benign, mastitis, na","benign, papilloma, na","benign, pseudoangiomatous stromal hyperplasia, na","benign, radial scar, na"," benign, sclerosing adenosis, na","benign, usual ductal hyperplasia, na","breast cancer, in situ, ductal","breast cancer, in situ, lobular","breast cancer, in situ, na","breast cancer, invasive, ductal","breast cancer, invasive, lobular","breast cancer, invasive, na","breast cancer, metastasis, na","breast cancer, na, ductal","breast cancer, na, lobular","breast cancer, na, na","lymphoma, na, na",Scored Labels
"benign, cyst, na",0,0.001515152,0.068404881,0.003182343,0.004288268,0.010095772,0.68533442,0.001211854,0.026783758,0.006791126,0.000558036,0.003266919,0.000655812,0,0.000718391,0.000233209,0.003707644,0.000980639,0.004761905,0.002013244,0.001692405,0,0.171755316,0.002048907,"benign, cyst, na"
"atypical, fibroadenoma, na",0.004719799,0.003477757,0.658431723,0.002019714,0.001695197,0,0.054674073,0.001559936,0.012475808,0.004945157,0.002648172,0.006350998,0.004542115,0.000958589,0.004879434,0.000233209,0.004124791,0.007236619,0.007329749,0.003911139,0.001988541,0.000575153,0.209330902,0.001891425,"atypical, fibroadenoma, na"
"breast cancer, invasive, ductal",0,0,0,0,0,0,0,0,0,0,0,0,0,0.201607698,0,0,0.798392302,0,0,0,0,0,0,0,"breast cancer, invasive, ductal"
"benign, cyst, na",0,0.003438228,0.069366419,0.003182343,0.004288268,0.010416285,0.596552368,0.001852879,0.033514527,0.006791126,0.000558036,0.004548971,0.000976325,0,0.000718391,0.000233209,0.005310208,0.000980639,0.004761905,0.002333757,0.002653944,0,0.244191214,0.003330959,"benign, cyst, na"
"benign, cyst, na",0,0.001515152,0.068404881,0.003182343,0.004288268,0.010095772,0.68533442,0.001211854,0.026783758,0.006791126,0.000558036,0.003266919,0.000655812,0,0.000718391,0.000233209,0.003707644,0.000980639,0.004761905,0.002013244,0.001692405,0,0.171755316,0.002048907,"benign, cyst, na"
"breast cancer, invasive, ductal",0,0.002886003,0.014615015,0,0,0,0.001443001,0,0,0,0.001998002,0.000481,0.000999001,0.031389663,0,0,0.879893985,0.008473008,0.019761525,0.003387256,0.018278018,0.000962001,0.015432521,0,"breast cancer, invasive, ductal"
"breast cancer, na, na",0.004217791,0.004396817,0.163752815,0.005286237,0.004425642,0.000984146,0.160572653,0.003985938,0.03402832,0.007252849,0.003910433,0.015723551,0.005599355,0.000958589,0.005113735,0.000233209,0.010280552,0.010259444,0.011907213,0.006433747,0.004702553,0.002335717,0.523742428,0.009896265,"breast cancer, na, na"
"atypical, flat epithelial atypia, na",0.06344697,0.047916667,0,0.585312348,0.125,0,0,0,0,0,0.002066116,0.002066116,0.142941784,0,0.025,0,0,0.00625,0,0,0,0,0,0,"atypical, flat epithelial atypia, na"
"atypical, fibroadenoma, na",0.002688172,0.018565188,0.664520542,0.0625,0,0.052325581,0.005813953,0,0.083536509,0.002688172,0.004032258,0.026162791,0.033602151,0,0.000469925,0,0,0.041750672,0,0,0,0,0.001344086,0,"atypical, fibroadenoma, na"
"benign, radial scar, na",0.028125,0.0046875,0.041047899,0.00625,0,0.396414241,0.005965801,0,0.022407792,0.003231647,0.07890625,0.034241071,0.276755206,0.008564815,0.0015625,0,0.05787037,0.0015625,0,0.002314815,0.025462963,0,0.00462963,0,"benign, apocrine metaplasia, na"
"benign, cyst, na",0.00862069,0.020099976,0.044407895,0.032973926,0,0.657179647,0.136266489,0,0.007485889,0.002667411,0.012591295,0.015942998,0.024285714,0,0,0,0,0.022610405,0,0,0,0,0.014867666,0,"benign, apocrine metaplasia, na"
"benign, apocrine metaplasia, na",0.050161557,0.040757665,0.028544207,0.00546875,0,0.284006658,0.008942398,0,0.03272779,0.025281041,0.008172386,0.013171491,0.497239839,0,0.0015625,0,0.000603865,0.0015625,0,0,0,0,0.001797352,0,"benign, usual ductal hyperplasia, na"
"breast cancer, in situ, ductal",0,0,0,0.00154321,0,0,0,0,0.023733504,0,0,0,0,0.790985221,0,0,0.137702394,0,0.00766471,0.007716049,0,0,0.030654913,0,"breast cancer, in situ, ductal"
"breast cancer, in situ, ductal",0.075,0,0,0,0,0.0125,0,0,0.025,0,0,0,0.002906977,0.642902426,0,0,0.200038052,0,0.001712329,0,0.016666667,0,0.02327355,0,"breast cancer, in situ, ductal"
"breast cancer, in situ, ductal",0.007246377,0,0,0,0,0.054347826,0.001207729,0,0.002415459,0.003019324,0,0.001207729,0.095410628,0.589780349,0,0,0.14732237,0,0,0,0.079225352,0,0.018816856,0,"breast cancer, in situ, ductal"
"benign, sclerosing adenosis, na",0.068806747,0.04301461,0.037202851,0.010634039,0,0.028600252,0.004904475,0,0.029545995,0.042902376,0.011600108,0.103704773,0.602079382,0,0.006944444,0,0.000603865,0,0,0,0,0,0.009456082,0,"benign, usual ductal hyperplasia, na"
"atypical, fibroadenoma, na",0.004719799,0.003477757,0.658431723,0.002019714,0.001695197,0,0.054674073,0.001559936,0.012475808,0.004945157,0.002648172,0.006350998,0.004542115,0.000958589,0.004879434,0.000233209,0.004124791,0.007236619,0.007329749,0.003911139,0.001988541,0.000575153,0.209330902,0.001891425,"atypical, fibroadenoma, na"
"atypical, atypical lobular hyperplasia, na",0.009881218,0.550981369,0.04159919,0.007894737,0.003205128,0,0,0,0.002631579,0.013888889,0.003205128,0.162235717,0.047368421,0.041666667,0.009615385,0,0.02995137,0.045657997,0,0,0.002155172,0,0.028062032,0,"atypical, atypical lobular hyperplasia, na"
"breast cancer, invasive, ductal",0,0,0,0,0,0,0,0,0,0,0,0,0,0.153576505,0.000898473,0,0.807524098,0,0.023219737,0.004045228,0.007936508,0,0.002799451,0,"breast cancer, invasive, ductal"
"benign, pseudoangiomatous stromal hyperplasia, na",0.153271527,0.046822853,0.092322398,0.00546875,0,0.023264886,0.011154475,0,0.027436982,0.108090548,0.04329186,0.024487573,0.457240386,0,0,0,0.000603865,0.002688172,0,0,0,0,0.003855724,0,"benign, usual ductal hyperplasia, na"
"benign, apocrine metaplasia, na",0.00625,0.0203125,0.087459936,0.00625,0,0.416784611,0.005965801,0,0.022407792,0.003231647,0.00390625,0.021741071,0.297357058,0.00625,0.0015625,0,0.083333333,0.0140625,0.003125,0,0,0,0,0,"benign, apocrine metaplasia, na"
"benign, cyst, na",0,0.003438228,0.069366419,0.003182343,0.004288268,0.010416285,0.596552368,0.001852879,0.033514527,0.006791126,0.000558036,0.004548971,0.000976325,0,0.000718391,0.000233209,0.005310208,0.000980639,0.004761905,0.002333757,0.002653944,0,0.244191214,0.003330959,"benign, cyst, na"
"benign, sclerosing adenosis, na",0.004217791,0.006086794,0.098369818,0.0046607,0.004494675,0.041987179,0.075993032,0.00230941,0.041356437,0.00172546,0.022030235,0.369080997,0.004781681,0.000958589,0.005113735,0.000233209,0.004943931,0.009024685,0.010932555,0.004759961,0.002707335,0.002335717,0.276962034,0.004934039,"benign, sclerosing adenosis, na"
"atypical, atypical lobular hyperplasia, na",0.13321622,0.556061519,0.002314815,0,0,0.074074074,0,0,0,0,0.008098224,0.06712963,0.055555556,0,0.030172414,0,0.019230769,0,0.009259259,0,0.016304348,0,0.028583173,0,"atypical, atypical lobular hyperplasia, na"
"atypical, atypical ductal hyperplasia, na",0.527238542,0.043018337,0.039685583,0.030683691,0,0.014491798,0.001768868,0.000383436,0.030934663,0.015286781,0.003096423,0.004055012,0.112084069,0.00937205,0.004409509,0,0.030814948,0.006326687,0.00172546,0.002160512,0.048652076,0.000575153,0.072277811,0.000958589,"atypical, atypical ductal hyperplasia, na"
"breast cancer, invasive, lobular",0.004217791,0.016488892,0.043852249,0,0,0.002604167,0,0.000383436,0.003834356,0.00172546,0.001917178,0.002875767,0.003642638,0.026181803,0.23340031,0,0.018430964,0.529881979,0.010058793,0.026180402,0.000575153,0.006825153,0.065964919,0.000958589,"breast cancer, invasive, lobular"
"breast cancer, invasive, ductal",0,0.002886003,0.00962001,0,0,0,0.001443001,0,0,0,0,0.000481,0,0.201560178,0,0,0.732846546,0.002151844,0.009280778,0.003387256,0.019948862,0.000962001,0.015432521,0,"breast cancer, invasive, ductal"
"breast cancer, in situ, ductal",0,0,0,0,0,0,0,0,0,0,0,0.019230769,0,0.638162782,0,0,0.330655505,0.001984127,0,0,0.002873563,0,0.007093254,0,"breast cancer, in situ, ductal"
"atypical, fibroadenoma, na",0.019732777,0.012134552,0.650797422,0.002019714,0.008105454,0,0.054674073,0.001176501,0.008641452,0.003219697,0.000730994,0.003475231,0.010514861,0,0.006880181,0.000233209,0.00335792,0.004115061,0.008809417,0.00295255,0.001413388,0,0.196082711,0.000932836,"atypical, fibroadenoma, na"
"breast cancer, metastasis, na",0,0,0,0,0,0,0,0,0,0,0,0,0,0.098793986,0,0,0.839191603,0,0.007127193,0.054010025,0,0,0.000877193,0,"breast cancer, invasive, ductal"
"atypical, atypical ductal hyperplasia, na",0.260859694,0.043018337,0.074212282,0.027243211,0,0.072184105,0.00923246,0.000383436,0.014778717,0.085068334,0.005162539,0.009761905,0.322384684,0.000958589,0.004409509,0,0.000766871,0.006326687,0.00172546,0.000958589,0.000575153,0.000575153,0.058455696,0.000958589,"benign, usual ductal hyperplasia, na"
"benign, cyst, na",0,0.003438228,0.038652441,0.001722028,0.001674107,0.0108009,0.621820021,0.00207389,0.016945586,0.005527389,0.000558036,0.002519694,0.000894522,0,0.000718391,0,0.006451855,0.00074743,0,0.003090789,0.002956757,0,0.273163659,0.006244277,"benign, cyst, na"
