Single Label  Derived,"atypical, atypical ductal hyperplasia, na","atypical, atypical lobular hyperplasia, na","atypical, fibroadenoma, na","atypical, flat epithelial atypia, na","atypical, phyllodes, na","benign, apocrine metaplasia, na","benign, cyst, na","benign, mastitis, na","benign, papilloma, na","benign, pseudoangiomatous stromal hyperplasia, na","benign, radial scar, na"," benign, sclerosing adenosis, na","benign, usual ductal hyperplasia, na","breast cancer, in situ, ductal","breast cancer, in situ, lobular","breast cancer, in situ, na","breast cancer, invasive, ductal","breast cancer, invasive, lobular","breast cancer, invasive, na","breast cancer, metastasis, na","breast cancer, na, ductal","breast cancer, na, lobular","breast cancer, na, na","lymphoma, na, na",Scored Labels
"benign, cyst, na",0.002186589,0.001762213,0.004869346,0.000952974,0.000648305,0.002703911,0.947680235,0.000504239,0.00325736,0.000534333,0.001213006,0.001912699,0.003195358,0.003270287,0.002817692,0.000176022,0.002125016,0.002502508,0.001689515,0.001094248,0.003728563,0.000654522,0.009725595,0.000795282,"benign, cyst, na"
"atypical, fibroadenoma, na",0.003755248,0.003026424,0.910067201,0.001636638,0.001113398,0.002242604,0.005655269,0.00086598,0.005335691,0.000917663,0.001978432,0.00320724,0.002180362,0.006332982,0.004839105,0.0003023,0.003649503,0.004297807,0.002901573,0.001879262,0.007870208,0.001124077,0.023455255,0.001365818,"atypical, fibroadenoma, na"
"breast cancer, invasive, ductal",1.39E-06,3.97E-05,3.70E-05,7.76E-07,3.82E-07,3.74E-07,6.22E-07,2.97E-07,1.06E-06,5.27E-07,6.94E-07,5.03E-07,2.37E-07,0.09156964,6.59E-05,1.04E-07,0.908038974,0.00010339,3.59E-05,9.60E-07,6.16E-05,3.85E-07,3.94E-05,4.68E-07,"breast cancer, invasive, ductal"
"benign, cyst, na",0.001742647,0.00142065,0.004512181,0.000754401,0.000513216,0.004269723,0.958753347,0.000399169,0.00289065,0.000422993,0.000960249,0.001653162,0.002964158,0.002093826,0.002363479,0.000139344,0.001222294,0.001777956,0.001337467,0.000866237,0.002800324,0.000518138,0.004994826,0.000629568,"benign, cyst, na"
"benign, cyst, na",0.002186589,0.001762213,0.004869346,0.000952974,0.000648305,0.002703911,0.947680235,0.000504239,0.00325736,0.000534333,0.001213006,0.001912699,0.003195358,0.003270287,0.002817692,0.000176022,0.002125016,0.002502508,0.001689515,0.001094248,0.003728563,0.000654522,0.009725595,0.000795282,"benign, cyst, na"
"breast cancer, invasive, ductal",0.000326721,0.00020773,0.000372044,0.00015479,0.000105303,0.000279876,0.000451049,8.19E-05,0.000418606,8.68E-05,0.000187116,0.000295396,0.000349011,0.008586242,0.000258008,2.86E-05,0.947882295,0.00530743,0.009161038,0.000382815,0.001071127,0.000106313,0.023770243,0.000129177,"breast cancer, invasive, ductal"
"breast cancer, na, na",0.001839587,0.001482558,0.003975906,0.000801742,0.000545422,0.001822268,0.002770353,0.000424218,0.002727519,0.000449536,0.000969177,0.001873867,0.002323277,0.002751308,0.002370537,0.000148088,0.001787786,0.002105372,0.001421397,0.000920596,0.00421904,0.000550653,0.96105063,0.000669075,"breast cancer, na, na"
"atypical, flat epithelial atypia, na",0.003182538,0.001614399,0.001256656,0.937905133,0.027757743,0.000337186,0.000311687,0.000142716,0.000921941,0.000252003,0.000361564,0.000629576,0.012680552,0.002421819,0.002155445,4.98E-05,0.000682914,0.000937082,0.000603114,0.000309709,0.000834577,0.000185252,0.004241612,0.000225091,"atypical, flat epithelial atypia, na"
"atypical, fibroadenoma, na",4.14E-05,4.06E-05,0.999108732,6.20E-05,1.22E-05,2.39E-05,3.44E-05,9.48E-06,6.30E-05,1.00E-05,2.17E-05,5.24E-05,1.54E-05,9.77E-05,5.10E-05,3.31E-06,2.95E-05,3.66E-05,3.17E-05,2.06E-05,5.74E-05,1.23E-05,0.000149548,1.49E-05,"atypical, fibroadenoma, na"
"benign, radial scar, na",0.022237273,0.02006248,0.008680956,0.009857482,0.001657838,0.436930984,0.020609289,0.001289434,0.008261736,0.001366389,0.181395009,0.009563735,0.214063063,0.015719475,0.009655204,0.000450122,0.006497623,0.006118243,0.006547883,0.003002825,0.006348956,0.001673737,0.005976608,0.002033688,"benign, apocrine metaplasia, na"
