Single Label  Derived,"atypical, atypical ductal hyperplasia, na","atypical, atypical lobular hyperplasia, na","atypical, fibroadenoma, na","atypical, flat epithelial atypia, na","atypical, phyllodes, na","benign, apocrine metaplasia, na","benign, cyst, na","benign, mastitis, na","benign, papilloma, na","benign, pseudoangiomatous stromal hyperplasia, na","benign, radial scar, na"," benign, sclerosing adenosis, na","benign, usual ductal hyperplasia, na","breast cancer, in situ, ductal","breast cancer, in situ, lobular","breast cancer, in situ, na","breast cancer, invasive, ductal","breast cancer, invasive, lobular","breast cancer, invasive, na","breast cancer, metastasis, na","breast cancer, na, ductal","breast cancer, na, lobular","breast cancer, na, na","lymphoma, na, na",Scored Labels
"benign, cyst, na",4.37E-08,1.46E-07,5.38E-07,4.51E-07,1.38E-06,9.95E-07,0.999984205,3.42E-05,8.76E-06,1.19E-06,7.49E-06,2.67E-07,2.64E-07,5.05E-06,3.53E-07,2.17E-06,5.69E-07,3.63E-06,1.76E-07,6.32E-07,8.76E-07,3.43E-06,3.34E-06,2.86E-06,"benign, cyst, na"
"atypical, fibroadenoma, na",6.49E-06,9.61E-06,0.999964058,6.00E-07,1.65E-05,3.55E-06,1.06E-05,0.000580789,5.69E-06,1.87E-06,1.24E-05,1.56E-05,1.12E-06,1.94E-05,3.61E-06,2.71E-06,2.07E-05,5.36E-05,6.10E-07,2.58E-06,1.17E-05,1.39E-05,3.74E-05,1.32E-05,"atypical, fibroadenoma, na"
"breast cancer, invasive, ductal",1.11E-10,2.92E-10,3.29E-09,5.23E-10,7.51E-08,6.01E-12,5.00E-08,6.75E-09,1.45E-10,8.83E-09,4.90E-10,5.04E-12,6.37E-14,0.002995822,4.46E-09,2.24E-06,0.966517329,1.00E-07,5.59E-09,2.22E-07,7.25E-10,2.81E-08,2.69E-10,1.11E-07,"breast cancer, invasive, ductal"
"benign, cyst, na",3.73E-08,1.01E-07,1.36E-06,6.24E-07,1.60E-06,7.90E-06,0.999981999,1.04E-05,5.84E-06,1.10E-06,5.16E-06,4.96E-07,2.48E-07,2.54E-06,6.07E-07,2.36E-06,6.30E-07,4.26E-06,2.58E-07,1.01E-06,4.22E-07,2.37E-06,1.84E-06,3.92E-06,"benign, cyst, na"
"benign, cyst, na",4.37E-08,1.46E-07,5.38E-07,4.51E-07,1.38E-06,9.95E-07,0.999984205,3.42E-05,8.76E-06,1.19E-06,7.49E-06,2.67E-07,2.64E-07,5.05E-06,3.53E-07,2.17E-06,5.69E-07,3.63E-06,1.76E-07,6.32E-07,8.76E-07,3.43E-06,3.34E-06,2.86E-06,"benign, cyst, na"
"breast cancer, invasive, ductal",4.57E-10,1.32E-11,9.73E-09,4.98E-10,2.33E-07,8.88E-10,4.88E-08,3.89E-07,2.09E-09,9.38E-08,3.51E-09,6.00E-10,1.94E-10,2.74E-08,2.22E-11,1.96E-06,0.999994159,1.86E-06,2.58E-06,4.21E-07,2.36E-07,8.15E-09,1.56E-06,8.23E-07,"breast cancer, invasive, ductal"
"breast cancer, na, na",5.71E-08,4.84E-07,9.17E-07,7.66E-07,8.26E-07,2.50E-06,2.39E-06,9.85E-05,1.37E-07,1.04E-06,9.74E-08,1.66E-06,1.31E-07,4.45E-07,6.30E-08,1.57E-06,3.92E-07,2.32E-06,8.30E-07,1.52E-06,3.47E-07,1.44E-06,0.999998331,1.56E-06,"breast cancer, na, na"
"atypical, flat epithelial atypia, na",0.000177594,4.89E-06,4.37E-07,0.955465913,0.012850779,3.92E-07,1.18E-05,6.75E-07,4.21E-05,2.07E-05,1.71E-05,1.75E-07,2.74E-05,1.63E-07,0.001040778,1.26E-05,2.12E-05,1.44E-06,1.01E-07,8.93E-07,3.25E-06,1.10E-06,7.00E-05,2.51E-06,"atypical, flat epithelial atypia, na"
"atypical, fibroadenoma, na",3.27E-08,3.39E-07,0.999997914,2.91E-08,1.16E-06,4.62E-09,4.87E-07,7.49E-07,9.05E-07,1.37E-07,7.98E-07,1.74E-07,2.26E-08,3.34E-08,7.72E-07,7.32E-08,7.61E-07,6.00E-06,2.36E-08,1.12E-07,6.19E-08,6.99E-07,1.02E-07,5.14E-07,"atypical, fibroadenoma, na"
"benign, radial scar, na",1.02E-07,1.45E-05,4.08E-06,1.57E-06,3.41E-05,0.999818861,2.95E-07,2.88E-06,1.60E-08,1.18E-07,0.000740626,4.40E-07,5.81E-06,0.000339228,2.20E-06,1.97E-06,8.80E-07,2.64E-06,1.17E-07,7.27E-06,2.82E-07,8.96E-08,2.34E-07,1.73E-06,"benign, apocrine metaplasia, na"
