Single Label  Derived,"atypical, atypical ductal hyperplasia, na","atypical, atypical lobular hyperplasia, na","atypical, fibroadenoma, na","atypical, flat epithelial atypia, na","atypical, phyllodes, na","benign, apocrine metaplasia, na","benign, cyst, na","benign, mastitis, na","benign, papilloma, na","benign, pseudoangiomatous stromal hyperplasia, na","benign, radial scar, na"," benign, sclerosing adenosis, na","benign, usual ductal hyperplasia, na","breast cancer, in situ, ductal","breast cancer, in situ, lobular","breast cancer, in situ, na","breast cancer, invasive, ductal","breast cancer, invasive, lobular","breast cancer, invasive, na","breast cancer, metastasis, na","breast cancer, na, ductal","breast cancer, na, lobular","breast cancer, na, na","lymphoma, na, na",Scored Labels
"benign, cyst, na",3.75E-10,5.75E-08,3.91E-07,3.21E-06,1.10E-07,1.65E-06,0.99999851,7.90E-07,5.86E-06,1.78E-08,3.27E-06,2.60E-08,1.29E-08,3.87E-07,2.61E-08,4.18E-07,7.34E-08,4.17E-07,1.29E-08,1.69E-06,3.25E-07,1.24E-06,3.11E-08,2.83E-07,"benign, cyst, na"
"atypical, fibroadenoma, na",3.65E-06,1.08E-05,0.999998033,9.20E-06,7.23E-06,1.66E-07,3.94E-06,0.000312645,3.25E-06,7.34E-07,1.85E-06,5.26E-07,3.58E-07,2.47E-06,5.81E-07,1.50E-06,9.70E-06,1.35E-05,2.41E-07,2.78E-06,3.34E-06,4.82E-06,2.31E-06,1.78E-06,"atypical, fibroadenoma, na"
"breast cancer, invasive, ductal",6.87E-12,7.84E-12,2.01E-09,4.93E-12,1.14E-09,1.65E-14,6.09E-09,1.13E-13,2.62E-12,1.52E-11,1.02E-11,4.20E-13,3.45E-15,5.76E-05,1.20E-11,6.35E-09,0.995885551,1.19E-07,2.95E-08,8.01E-09,5.06E-10,3.65E-10,2.90E-12,6.42E-09,"breast cancer, invasive, ductal"
"benign, cyst, na",1.05E-09,3.47E-08,6.91E-07,1.31E-06,1.18E-07,7.18E-06,0.999999523,1.52E-07,5.93E-06,1.71E-08,7.02E-06,2.18E-07,2.47E-08,3.71E-07,7.28E-08,6.08E-07,5.31E-07,4.69E-07,5.68E-08,1.42E-06,8.04E-08,2.11E-06,1.15E-08,4.67E-07,"benign, cyst, na"
"benign, cyst, na",3.75E-10,5.75E-08,3.91E-07,3.21E-06,1.10E-07,1.65E-06,0.99999851,7.90E-07,5.86E-06,1.78E-08,3.27E-06,2.60E-08,1.29E-08,3.87E-07,2.61E-08,4.18E-07,7.34E-08,4.17E-07,1.29E-08,1.69E-06,3.25E-07,1.24E-06,3.11E-08,2.83E-07,"benign, cyst, na"
"breast cancer, invasive, ductal",1.09E-10,5.59E-14,8.42E-12,9.42E-11,4.44E-09,6.62E-12,2.05E-09,8.62E-10,8.67E-11,9.48E-10,4.99E-11,8.20E-11,3.60E-13,1.34E-08,1.90E-14,8.69E-08,1,6.52E-09,1.17E-07,5.19E-08,9.17E-07,4.64E-09,4.59E-08,4.79E-08,"breast cancer, invasive, ductal"
"breast cancer, na, na",4.28E-08,4.41E-08,3.84E-07,6.25E-08,9.15E-08,1.81E-07,2.45E-07,4.33E-06,1.83E-07,8.72E-08,2.07E-07,6.31E-07,5.90E-09,4.09E-09,1.42E-07,5.65E-07,8.97E-07,8.45E-07,1.00E-07,5.14E-07,6.99E-09,8.73E-07,1,1.04E-07,"breast cancer, na, na"
"atypical, flat epithelial atypia, na",8.23E-05,0.000474665,0.000178576,0.974206507,0.001557435,1.92E-06,1.14E-06,0.000146614,1.94E-07,4.09E-05,3.53E-06,5.66E-07,2.52E-06,2.62E-05,0.002595451,2.52E-05,6.75E-09,7.62E-06,2.31E-08,2.32E-07,4.05E-06,5.67E-05,5.00E-05,4.91E-06,"atypical, flat epithelial atypia, na"
"atypical, fibroadenoma, na",4.90E-09,1.10E-06,0.999999881,2.55E-08,2.56E-08,4.38E-10,3.43E-08,1.32E-08,2.08E-08,1.52E-08,3.79E-08,2.09E-08,7.22E-10,2.13E-09,9.35E-10,3.05E-08,1.37E-06,1.51E-06,1.28E-08,3.11E-08,2.82E-09,1.61E-07,3.41E-07,1.99E-08,"atypical, fibroadenoma, na"
"benign, radial scar, na",1.12E-08,6.64E-07,9.63E-08,2.91E-07,1.47E-07,0.998863578,1.01E-06,8.27E-10,3.22E-09,2.20E-08,0.004939344,2.05E-07,1.04E-05,1.95E-05,7.22E-06,7.68E-08,2.14E-08,2.47E-06,1.22E-08,6.29E-07,1.74E-11,1.54E-07,1.51E-09,7.11E-07,"benign, apocrine metaplasia, na"
"benign, cyst, na",3.70E-10,1.45E-07,0.05794324,7.38E-07,2.05E-07,1.07E-05,0.128794491,1.34E-08,4.72E-07,2.59E-07,2.63E-08,6.74E-08,1.04E-10,9.41E-11,2.73E-10,4.25E-07,0.004298835,8.92E-08,3.48E-09,8.76E-07,2.73E-07,5.95E-08,3.91E-06,4.95E-08,"benign, cyst, na"
"benign, apocrine metaplasia, na",2.74E-05,1.83E-06,9.96E-06,3.02E-06,1.25E-06,0.011153099,6.89E-07,4.74E-09,1.29E-07,3.07E-08,7.87E-06,1.66E-06,0.999919593,4.64E-07,1.30E-05,4.44E-07,1.80E-06,1.02E-05,3.63E-08,7.31E-06,3.91E-08,2.92E-07,2.58E-07,1.09E-05,"benign, usual ductal hyperplasia, na"
"breast cancer, in situ, ductal",5.38E-11,1.10E-11,0.000612864,1.69E-07,1.03E-06,1.44E-08,3.66E-08,3.69E-11,2.86E-08,5.75E-09,2.71E-07,1.04E-07,2.66E-08,0.999726295,2.69E-08,3.20E-07,5.05E-05,1.81E-05,5.54E-08,1.10E-07,3.30E-11,8.19E-09,1.36E-09,9.53E-08,"breast cancer, in situ, ductal"
"breast cancer, in situ, ductal",6.25E-09,4.82E-12,1.85E-08,1.95E-08,1.71E-05,5.79E-06,8.76E-07,1.55E-07,1.55E-07,8.62E-10,9.73E-09,4.56E-07,1.78E-12,0.044721253,6.61E-06,8.63E-06,0.000126764,7.10E-08,3.54E-06,0.000591685,1.40E-10,2.50E-07,0.005457861,2.67E-07,"breast cancer, in situ, ductal"
"breast cancer, in situ, ductal",1.78E-07,1.96E-12,2.94E-09,8.16E-11,3.44E-08,1.39E-13,1.11E-07,2.20E-10,1.21E-09,1.75E-10,1.06E-09,2.93E-05,1.84E-05,0.726988077,2.17E-11,5.93E-08,0.824606299,1.11E-11,3.89E-11,2.53E-08,7.24E-09,5.35E-10,1.10E-11,1.37E-07,"breast cancer, invasive, ductal"
"benign, sclerosing adenosis, na",0.002618231,0.000256233,2.66E-07,2.39E-06,3.92E-06,5.66E-08,1.35E-05,1.65E-08,1.34E-05,5.27E-07,3.06E-06,0.018770283,0.386879027,3.22E-05,7.11E-09,3.73E-06,4.28E-05,7.08E-07,4.30E-07,9.79E-07,4.43E-09,7.98E-09,1.31E-10,6.04E-07,"benign, usual ductal hyperplasia, na"
"atypical, fibroadenoma, na",2.14E-07,1.39E-07,0.99999994,4.97E-07,2.31E-07,2.08E-08,2.94E-08,1.69E-07,9.60E-07,7.88E-08,7.75E-08,1.18E-07,1.04E-08,7.56E-08,1.64E-07,9.51E-08,3.39E-06,7.57E-07,1.86E-09,2.81E-07,1.49E-08,1.66E-07,7.11E-09,3.96E-07,"atypical, fibroadenoma, na"
"atypical, atypical lobular hyperplasia, na",1.39E-06,0.984861732,4.53E-06,0.000177336,1.01E-05,6.15E-07,3.77E-07,1.48E-05,1.65E-07,1.04E-06,1.88E-06,0.063643105,3.05E-06,0.000462113,0.021295907,1.66E-05,3.73E-07,4.00E-05,5.86E-07,1.57E-05,2.53E-09,5.86E-06,0.000229452,6.56E-06,"atypical, atypical lobular hyperplasia, na"
"breast cancer, invasive, ductal",1.64E-10,3.13E-15,6.20E-12,1.19E-11,9.30E-10,9.08E-14,1.47E-08,2.85E-11,8.15E-11,7.20E-11,9.49E-12,3.53E-12,4.29E-13,0.00437998,3.72E-14,1.23E-08,0.996746063,4.36E-09,5.97E-09,2.32E-08,1.40E-07,5.88E-10,5.26E-14,4.50E-08,"breast cancer, invasive, ductal"
"benign, pseudoangiomatous stromal hyperplasia, na",1.45E-07,1.08E-08,6.27E-05,3.97E-06,2.58E-06,4.61E-09,9.13E-07,9.20E-08,0.000542126,0.139308393,0.003022441,2.07E-07,0.000304943,8.69E-06,0.005963594,4.84E-07,3.01E-11,4.30E-07,2.97E-06,1.43E-07,4.25E-09,5.99E-07,3.49E-09,2.02E-06,"benign, pseudoangiomatous stromal hyperplasia, na"
"benign, apocrine metaplasia, na",2.06E-07,1.02E-06,0.000808173,3.26E-07,1.07E-07,0.699397802,1.61E-08,8.29E-10,4.67E-09,2.07E-08,8.48E-08,0.000897558,0.000863325,2.76E-06,0.000197647,1.83E-07,1.33E-07,7.10E-07,1.98E-09,3.38E-07,1.47E-12,5.05E-09,1.57E-10,2.15E-07,"benign, apocrine metaplasia, na"
"benign, cyst, na",9.30E-12,1.61E-08,2.56E-07,3.67E-07,1.89E-08,1.16E-06,0.999997735,4.55E-08,5.49E-07,4.33E-09,5.59E-07,4.18E-09,1.56E-09,1.36E-07,5.38E-09,6.59E-08,1.12E-07,3.83E-08,4.16E-09,6.44E-07,2.50E-08,1.89E-07,1.33E-08,1.58E-07,"benign, cyst, na"
"benign, sclerosing adenosis, na",1.69E-05,1.14E-05,1.51E-05,1.66E-06,9.81E-06,8.11E-07,3.14E-06,1.28E-05,4.73E-06,1.44E-06,2.65E-06,0.999041557,6.03E-05,2.65E-06,0.000121076,3.34E-06,0.000122514,4.12E-05,6.26E-06,1.16E-06,2.53E-08,1.87E-06,0.000189699,5.19E-06,"benign, sclerosing adenosis, na"
"atypical, atypical lobular hyperplasia, na",0.000315605,0.723426461,1.33E-08,7.71E-06,3.40E-06,0.001387836,1.40E-05,3.87E-08,6.79E-07,1.22E-06,4.00E-06,2.39E-07,7.66E-07,9.27E-08,1.57E-06,6.05E-08,7.75E-09,3.83E-07,7.24E-08,6.27E-08,4.58E-11,1.95E-08,9.78E-06,2.57E-07,"atypical, atypical lobular hyperplasia, na"
"atypical, atypical ductal hyperplasia, na",0.999930739,2.62E-05,4.80E-08,3.10E-08,7.10E-07,1.31E-08,9.56E-09,3.89E-06,0.000335444,3.80E-07,3.19E-07,3.40E-09,2.24E-09,4.33E-05,3.48E-06,7.59E-07,2.27E-07,2.78E-09,5.08E-07,2.43E-07,4.00E-06,8.14E-07,6.80E-08,8.30E-06,"atypical, atypical ductal hyperplasia, na"
"breast cancer, invasive, lobular",1.30E-09,3.68E-08,2.43E-07,4.46E-07,1.72E-06,9.28E-08,1.10E-06,5.66E-07,2.23E-08,1.05E-09,5.09E-06,9.61E-10,5.12E-08,0.097862408,0.031335875,9.34E-06,1.03E-07,0.929876447,4.98E-07,0.004953709,5.45E-13,1.72E-05,1.10E-06,4.06E-07,"breast cancer, invasive, lobular"
"breast cancer, invasive, ductal",2.14E-08,5.54E-15,4.37E-10,2.73E-10,8.76E-08,4.27E-12,1.02E-09,2.48E-12,2.18E-09,6.70E-10,3.46E-09,3.95E-10,6.25E-09,0.999169171,3.40E-09,4.01E-07,0.003893235,2.57E-13,2.13E-09,5.44E-07,4.50E-09,1.61E-10,9.01E-11,8.56E-07,"breast cancer, in situ, ductal"
