Single Label  Derived,"atypical, atypical ductal hyperplasia, na","atypical, atypical lobular hyperplasia, na","atypical, fibroadenoma, na","atypical, flat epithelial atypia, na","atypical, phyllodes, na","benign, apocrine metaplasia, na","benign, cyst, na","benign, mastitis, na","benign, papilloma, na","benign, pseudoangiomatous stromal hyperplasia, na","benign, radial scar, na"," benign, sclerosing adenosis, na","benign, usual ductal hyperplasia, na","breast cancer, in situ, ductal","breast cancer, in situ, lobular","breast cancer, in situ, na","breast cancer, invasive, ductal","breast cancer, invasive, lobular","breast cancer, invasive, na","breast cancer, metastasis, na","breast cancer, na, ductal","breast cancer, na, lobular","breast cancer, na, na","lymphoma, na, na",Scored Labels
"benign, cyst, na",2.47E-08,1.02E-05,1.64E-10,1.60E-10,1.83E-09,1.29E-10,1,1.51E-09,5.67E-08,2.73E-09,6.36E-09,9.26E-12,3.43E-11,4.56E-13,7.56E-09,9.80E-10,1.97E-11,6.39E-09,2.01E-10,3.83E-09,9.62E-09,4.16E-09,2.76E-07,1.51E-06,"benign, cyst, na"
"atypical, fibroadenoma, na",9.46E-08,3.15E-09,1,8.99E-09,2.41E-06,1.07E-09,3.37E-08,4.12E-07,2.89E-07,5.36E-09,3.96E-08,1.66E-10,1.59E-11,1.12E-13,4.33E-09,6.59E-07,2.59E-06,1.98E-08,9.61E-10,2.26E-07,1.79E-06,7.37E-08,3.03E-06,1.38E-06,"atypical, fibroadenoma, na"
"breast cancer, invasive, ductal",4.52E-13,1.90E-10,1.16E-14,5.20E-14,1.97E-08,9.23E-18,7.36E-15,1.81E-14,1.88E-13,1.33E-12,6.48E-12,3.65E-18,1.28E-22,0.137040108,9.75E-13,3.53E-08,0.27262032,3.06E-06,8.57E-11,9.21E-10,3.94E-12,4.99E-09,4.15E-13,9.26E-11,"breast cancer, invasive, ductal"
"benign, cyst, na",1.07E-09,5.10E-06,3.59E-08,2.39E-11,2.77E-09,4.02E-10,1,8.00E-11,2.02E-07,4.62E-11,4.40E-09,2.74E-11,5.47E-10,9.77E-13,2.98E-07,4.84E-10,9.88E-09,4.05E-09,4.10E-11,7.21E-10,9.44E-09,8.82E-09,1.29E-09,4.16E-07,"benign, cyst, na"
"benign, cyst, na",2.47E-08,1.02E-05,1.64E-10,1.60E-10,1.83E-09,1.29E-10,1,1.51E-09,5.67E-08,2.73E-09,6.36E-09,9.26E-12,3.43E-11,4.56E-13,7.56E-09,9.80E-10,1.97E-11,6.39E-09,2.01E-10,3.83E-09,9.62E-09,4.16E-09,2.76E-07,1.51E-06,"benign, cyst, na"
"breast cancer, invasive, ductal",9.94E-20,5.32E-17,1.92E-11,3.04E-15,4.77E-10,2.33E-15,6.63E-12,1.70E-10,1.01E-15,3.87E-11,1.63E-11,2.10E-13,5.61E-18,2.05E-17,4.18E-19,3.68E-09,1,3.51E-09,6.31E-12,5.83E-11,6.82E-12,1.56E-09,4.17E-09,1.19E-09,"breast cancer, invasive, ductal"
"breast cancer, na, na",2.15E-10,1.00E-08,2.22E-10,6.88E-07,1.03E-08,3.06E-09,6.00E-10,8.25E-07,2.52E-09,4.82E-09,2.40E-09,1.10E-11,2.48E-10,1.05E-12,1.60E-08,5.21E-07,1.79E-16,1.12E-08,2.82E-08,3.37E-09,8.14E-09,9.77E-07,1,1.87E-07,"breast cancer, na, na"
"atypical, flat epithelial atypia, na",0.026443806,8.91E-09,0.004838524,0.932669044,6.88E-07,1.80E-08,8.24E-11,9.73E-07,9.83E-08,5.52E-08,6.46E-08,5.08E-13,1.76E-13,8.68E-14,4.71E-05,2.46E-07,3.34E-13,5.33E-09,1.34E-11,7.60E-08,4.63E-05,7.11E-08,5.54E-08,6.51E-07,"atypical, flat epithelial atypia, na"
"atypical, fibroadenoma, na",4.53E-09,4.43E-09,1,8.49E-11,4.96E-08,1.53E-17,2.80E-13,1.22E-11,6.59E-12,2.37E-12,2.54E-10,5.30E-12,1.67E-14,8.22E-10,1.26E-09,4.87E-09,7.11E-08,1.13E-10,2.31E-11,6.74E-09,4.90E-10,3.20E-09,5.12E-11,2.20E-08,"atypical, fibroadenoma, na"
"benign, radial scar, na",1.13E-11,0.00010791,1.26E-10,5.62E-05,2.17E-05,0.999703705,2.07E-05,1.04E-08,1.94E-09,1.18E-09,0.008327395,1.98E-09,1.70E-06,0.234770656,7.98E-09,2.93E-05,3.58E-12,2.74E-05,2.38E-08,4.18E-10,6.43E-09,3.53E-05,6.43E-11,7.97E-06,"benign, apocrine metaplasia, na"
"benign, cyst, na",6.17E-10,2.30E-07,0.032460712,9.19E-07,8.44E-08,1.65E-07,0.97439456,3.33E-11,3.41E-08,1.11E-07,3.74E-06,1.16E-10,1.68E-10,3.05E-12,1.91E-11,8.06E-09,1.05E-06,2.62E-12,3.74E-14,7.68E-06,8.09E-06,2.90E-08,6.20E-11,1.96E-06,"benign, cyst, na"
"benign, apocrine metaplasia, na",2.03E-08,1.20E-08,6.17E-08,3.08E-08,4.65E-07,2.84E-06,4.06E-10,4.35E-11,3.81E-07,2.70E-11,5.62E-09,6.12E-10,0.999713778,2.13E-06,1.21E-07,2.74E-07,2.54E-17,5.97E-07,9.49E-08,3.65E-08,5.15E-11,5.20E-09,0.002027434,1.36E-07,"benign, usual ductal hyperplasia, na"
"breast cancer, in situ, ductal",2.90E-13,5.55E-15,0.000383482,1.86E-08,2.06E-07,5.97E-16,3.48E-14,5.22E-09,8.42E-14,0.000110192,2.51E-08,5.69E-07,2.94E-11,1,3.99E-16,1.33E-07,0.999949753,4.40E-11,0.001072898,6.46E-06,2.82E-09,2.09E-08,3.90E-15,3.71E-07,"breast cancer, in situ, ductal"
"breast cancer, in situ, ductal",1.80E-11,1.44E-12,1.02E-08,1.44E-06,2.47E-07,5.85E-12,1.11E-14,1.09E-10,1.66E-07,2.06E-10,9.12E-10,1.32E-07,1.12E-13,0.999999821,2.93E-10,5.57E-08,4.70E-08,1.14E-06,2.51E-05,0.001796143,1.77E-07,1.47E-09,2.29E-06,2.92E-07,"breast cancer, in situ, ductal"
"breast cancer, in situ, ductal",7.38E-15,1.47E-15,1.65E-13,4.07E-12,1.47E-08,4.91E-16,1.17E-10,3.03E-12,2.78E-08,7.06E-10,1.74E-10,3.92E-06,1.28E-06,0.00772501,7.73E-15,4.79E-09,0.931313157,3.32E-09,2.28E-12,1.03E-09,4.79E-09,1.80E-10,1.40E-08,1.67E-09,"breast cancer, invasive, ductal"
"benign, sclerosing adenosis, na",0.000917684,0.016084641,1.18E-11,4.32E-08,1.32E-07,5.20E-11,0.000745279,5.82E-10,4.82E-07,2.33E-09,1.75E-07,0.504269898,0.291253418,1.07E-12,2.31E-05,1.14E-08,1.71E-07,5.87E-06,5.49E-06,1.85E-08,4.07E-07,5.25E-07,3.26E-09,5.95E-06,"benign, sclerosing adenosis, na"
"atypical, fibroadenoma, na",3.43E-09,1.14E-08,1,2.03E-10,2.18E-07,7.27E-12,4.13E-12,1.61E-09,5.63E-08,4.89E-08,3.48E-08,5.88E-12,2.18E-13,3.52E-10,2.87E-05,3.77E-07,3.13E-09,1.42E-10,1.89E-12,7.67E-09,2.46E-08,2.69E-07,4.71E-11,2.87E-06,"atypical, fibroadenoma, na"
"atypical, atypical lobular hyperplasia, na",3.52E-09,0.99957943,1.16E-15,8.65E-05,1.24E-05,1.44E-07,3.96E-09,3.21E-07,1.94E-07,1.62E-09,5.53E-08,7.30E-05,1.71E-06,1.30E-09,0.00775903,0.000192859,8.20E-12,6.06E-05,7.51E-06,3.85E-11,4.60E-08,4.42E-08,6.59E-06,2.03E-05,"atypical, atypical lobular hyperplasia, na"
