Single Label  Derived,"atypical, atypical ductal hyperplasia, na","atypical, atypical lobular hyperplasia, na","atypical, fibroadenoma, na","atypical, flat epithelial atypia, na","atypical, phyllodes, na","benign, apocrine metaplasia, na","benign, cyst, na","benign, mastitis, na","benign, papilloma, na","benign, pseudoangiomatous stromal hyperplasia, na","benign, radial scar, na"," benign, sclerosing adenosis, na","benign, usual ductal hyperplasia, na","breast cancer, in situ, ductal","breast cancer, in situ, lobular","breast cancer, in situ, na","breast cancer, invasive, ductal","breast cancer, invasive, lobular","breast cancer, invasive, na","breast cancer, metastasis, na","breast cancer, na, ductal","breast cancer, na, lobular","breast cancer, na, na","lymphoma, na, na",Scored Labels
"benign, cyst, na",1.47E-10,2.92E-07,2.54E-09,1.77E-08,6.57E-07,1.52E-07,0.999999762,2.08E-07,1.10E-07,3.64E-08,2.22E-06,2.40E-09,3.80E-09,1.85E-07,2.03E-07,2.27E-08,8.57E-08,1.37E-07,7.38E-09,1.14E-06,1.23E-08,1.75E-08,1.12E-08,1.98E-07,"benign, cyst, na"
"atypical, fibroadenoma, na",1.17E-06,1.11E-06,0.999997258,6.07E-08,2.91E-06,2.77E-06,3.38E-06,0.000138257,2.76E-06,5.40E-10,7.04E-07,1.55E-05,2.06E-06,5.04E-08,4.98E-07,3.60E-08,3.88E-05,7.25E-05,2.13E-07,4.61E-06,6.67E-06,2.96E-07,1.59E-05,1.01E-05,"atypical, fibroadenoma, na"
"breast cancer, invasive, ductal",1.02E-13,2.12E-11,1.03E-12,7.40E-12,3.71E-08,2.62E-18,1.07E-11,3.36E-12,8.72E-12,1.10E-12,1.74E-10,1.72E-15,2.85E-16,3.35E-07,2.80E-14,2.81E-09,0.999620497,5.91E-10,6.49E-11,6.67E-11,1.71E-11,7.14E-13,1.67E-15,7.55E-10,"breast cancer, invasive, ductal"
"benign, cyst, na",2.04E-10,3.52E-07,3.59E-09,1.39E-08,6.81E-07,8.97E-06,0.999992371,2.05E-07,1.20E-07,6.73E-08,1.41E-06,6.04E-09,2.78E-08,1.19E-07,1.69E-07,3.12E-08,7.81E-08,2.64E-07,1.76E-08,8.97E-07,7.93E-09,1.15E-08,1.09E-08,2.14E-07,"benign, cyst, na"
"benign, cyst, na",1.47E-10,2.92E-07,2.54E-09,1.77E-08,6.57E-07,1.52E-07,0.999999762,2.08E-07,1.10E-07,3.64E-08,2.22E-06,2.40E-09,3.80E-09,1.85E-07,2.03E-07,2.27E-08,8.57E-08,1.37E-07,7.38E-09,1.14E-06,1.23E-08,1.75E-08,1.12E-08,1.98E-07,"benign, cyst, na"
"breast cancer, invasive, ductal",4.61E-11,1.81E-13,5.73E-13,3.08E-11,4.79E-07,5.86E-13,3.36E-10,7.36E-09,1.94E-09,4.64E-09,9.42E-11,3.05E-11,2.04E-11,1.27E-09,1.06E-15,5.05E-08,0.999997914,5.87E-08,8.51E-08,5.26E-07,2.11E-10,7.80E-11,1.46E-10,2.32E-07,"breast cancer, invasive, ductal"
"breast cancer, na, na",2.26E-07,1.04E-07,1.37E-08,8.41E-09,2.47E-07,1.87E-07,4.58E-08,4.07E-06,1.13E-08,8.15E-09,4.14E-09,4.67E-08,1.10E-07,1.35E-07,3.09E-09,3.20E-07,6.72E-08,6.68E-07,4.47E-08,1.43E-06,1.49E-09,3.56E-07,0.999999821,2.66E-07,"breast cancer, na, na"
"atypical, flat epithelial atypia, na",1.45E-06,1.54E-06,6.38E-10,0.998817146,0.001435715,1.80E-12,2.47E-09,1.13E-12,1.56E-09,9.82E-08,2.71E-08,1.05E-11,1.28E-08,2.14E-06,6.45E-05,2.37E-07,1.52E-11,2.02E-10,2.80E-13,8.73E-07,7.71E-10,4.56E-08,0.018548418,4.01E-10,"atypical, flat epithelial atypia, na"
"atypical, fibroadenoma, na",9.94E-12,2.68E-07,1,6.45E-07,2.99E-07,1.97E-13,3.12E-09,5.41E-11,1.55E-11,6.51E-14,1.18E-08,3.52E-11,9.51E-16,1.80E-09,1.34E-08,7.78E-11,1.36E-07,2.31E-09,2.82E-12,1.71E-08,1.77E-08,1.57E-09,1.39E-10,4.07E-09,"atypical, fibroadenoma, na"
"benign, radial scar, na",8.31E-09,2.61E-05,2.45E-07,2.48E-07,8.29E-07,1,7.14E-09,6.07E-09,6.32E-12,1.42E-08,6.83E-05,2.09E-09,1.24E-07,1.06E-05,4.22E-07,6.94E-06,3.43E-09,6.05E-07,2.53E-07,6.12E-07,4.32E-10,5.28E-10,1.60E-08,2.27E-07,"benign, apocrine metaplasia, na"
