Single Label  Derived,"atypical, atypical ductal hyperplasia, na","atypical, atypical lobular hyperplasia, na","atypical, fibroadenoma, na","atypical, flat epithelial atypia, na","atypical, phyllodes, na","benign, apocrine metaplasia, na","benign, cyst, na","benign, mastitis, na","benign, papilloma, na","benign, pseudoangiomatous stromal hyperplasia, na","benign, radial scar, na"," benign, sclerosing adenosis, na","benign, usual ductal hyperplasia, na","breast cancer, in situ, ductal","breast cancer, in situ, lobular","breast cancer, in situ, na","breast cancer, invasive, ductal","breast cancer, invasive, lobular","breast cancer, invasive, na","breast cancer, metastasis, na","breast cancer, na, ductal","breast cancer, na, lobular","breast cancer, na, na","lymphoma, na, na",Scored Labels
"benign, cyst, na",5.13E-11,1.13E-06,1.52E-07,2.20E-07,4.70E-07,3.67E-07,0.999999762,4.20E-07,3.96E-07,5.47E-08,3.00E-06,3.74E-08,4.29E-08,6.68E-08,2.81E-07,3.70E-07,5.96E-07,4.55E-07,7.46E-08,1.18E-07,3.55E-08,1.59E-07,3.43E-08,2.58E-07,"benign, cyst, na"
"atypical, fibroadenoma, na",3.20E-06,1.38E-06,0.999997854,1.62E-07,3.09E-06,5.21E-06,4.56E-06,0.000139281,4.83E-06,1.49E-09,1.37E-06,1.67E-05,2.60E-06,8.28E-07,6.38E-07,5.62E-07,3.32E-05,8.66E-05,2.66E-07,4.11E-06,9.53E-06,4.27E-07,1.71E-05,1.03E-05,"atypical, fibroadenoma, na"
"breast cancer, invasive, ductal",2.96E-11,6.15E-11,8.65E-11,3.80E-11,5.60E-08,8.63E-12,3.98E-10,3.77E-09,2.41E-10,2.11E-10,2.11E-09,7.36E-10,1.64E-13,6.81E-05,1.34E-11,5.58E-08,0.997333527,1.05E-07,1.41E-08,1.33E-09,1.07E-10,1.08E-11,7.86E-10,6.43E-08,"breast cancer, invasive, ductal"
"benign, cyst, na",1.04E-10,8.48E-07,8.36E-08,1.89E-07,6.42E-07,1.21E-05,0.999991894,4.21E-07,2.44E-07,9.55E-08,2.91E-06,4.30E-08,2.23E-07,5.79E-08,3.35E-07,4.14E-07,3.63E-07,6.27E-07,1.10E-07,2.48E-07,3.05E-08,1.44E-07,4.13E-08,3.74E-07,"benign, cyst, na"
"benign, cyst, na",5.13E-11,1.13E-06,1.52E-07,2.20E-07,4.70E-07,3.67E-07,0.999999762,4.20E-07,3.96E-07,5.47E-08,3.00E-06,3.74E-08,4.29E-08,6.68E-08,2.81E-07,3.70E-07,5.96E-07,4.55E-07,7.46E-08,1.18E-07,3.55E-08,1.59E-07,3.43E-08,2.58E-07,"benign, cyst, na"
"breast cancer, invasive, ductal",5.07E-10,2.55E-12,3.57E-11,1.09E-09,4.20E-07,2.02E-09,2.84E-09,3.04E-07,6.94E-10,2.21E-08,7.34E-10,6.55E-09,2.35E-10,1.94E-08,2.91E-13,1.01E-07,0.999997854,2.48E-06,1.14E-06,1.72E-06,8.03E-09,5.13E-10,7.44E-09,6.40E-07,"breast cancer, invasive, ductal"
"breast cancer, na, na",2.03E-07,1.65E-07,7.20E-08,3.33E-08,2.06E-07,3.66E-07,5.46E-08,3.73E-06,1.24E-07,3.83E-08,2.41E-08,1.17E-07,1.53E-07,6.78E-08,9.41E-10,8.09E-07,1.66E-07,9.31E-07,5.40E-08,1.58E-06,2.82E-09,3.99E-07,0.999999821,4.25E-07,"breast cancer, na, na"
"atypical, flat epithelial atypia, na",1.00E-05,9.07E-07,3.29E-08,0.997759938,0.000621824,4.38E-10,1.21E-08,3.32E-10,5.05E-08,2.14E-06,1.35E-07,7.33E-10,5.01E-07,2.72E-08,7.12E-06,6.28E-07,1.80E-08,9.25E-08,2.52E-07,2.23E-06,4.50E-09,1.08E-07,0.002779745,1.94E-09,"atypical, flat epithelial atypia, na"
"atypical, fibroadenoma, na",4.11E-09,1.88E-07,1,1.86E-08,4.27E-07,1.87E-10,3.61E-09,6.04E-09,6.08E-10,5.61E-13,3.13E-08,6.46E-11,5.61E-13,1.84E-06,8.23E-09,7.66E-09,3.20E-07,2.42E-08,2.46E-10,1.05E-07,2.52E-08,1.09E-10,1.33E-09,2.06E-08,"atypical, fibroadenoma, na"
"benign, radial scar, na",3.38E-09,1.10E-05,9.59E-07,9.75E-07,9.68E-07,0.999994755,4.10E-08,1.24E-07,2.50E-11,2.15E-08,0.000156838,3.32E-09,3.26E-06,1.98E-05,1.25E-08,1.97E-07,1.86E-08,3.68E-07,1.15E-06,1.04E-06,1.26E-06,7.59E-09,1.08E-08,8.22E-08,"benign, apocrine metaplasia, na"
