Single Label  Derived,"atypical, atypical ductal hyperplasia, na","atypical, atypical lobular hyperplasia, na","atypical, fibroadenoma, na","atypical, flat epithelial atypia, na","atypical, phyllodes, na","benign, apocrine metaplasia, na","benign, cyst, na","benign, mastitis, na","benign, papilloma, na","benign, pseudoangiomatous stromal hyperplasia, na","benign, radial scar, na"," benign, sclerosing adenosis, na","benign, usual ductal hyperplasia, na","breast cancer, in situ, ductal","breast cancer, in situ, lobular","breast cancer, in situ, na","breast cancer, invasive, ductal","breast cancer, invasive, lobular","breast cancer, invasive, na","breast cancer, metastasis, na","breast cancer, na, ductal","breast cancer, na, lobular","breast cancer, na, na","lymphoma, na, na",Scored Labels
"benign, cyst, na",0.003541943,0.003113776,0.009065273,0.001505946,0.001122368,0.004797762,0.912349582,0.000628351,0.005101142,0.000989729,0.001931608,0.003023098,0.005424946,0.005855124,0.004514498,0.000223702,0.004247826,0.004304814,0.002911279,0.001798333,0.005941836,0.000830342,0.015739771,0.00103697,"benign, cyst, na"
"atypical, fibroadenoma, na",0.005831997,0.005126996,0.862206817,0.00247962,0.001848039,0.004365265,0.010004731,0.001034613,0.007527225,0.001629641,0.003061932,0.00474616,0.004243426,0.009896031,0.00743336,0.000368338,0.006994269,0.007088103,0.004793575,0.00296105,0.011198672,0.001367202,0.032085624,0.001707427,"atypical, fibroadenoma, na"
"breast cancer, invasive, ductal",6.98E-06,0.000106857,9.28E-05,4.00E-06,2.20E-06,2.15E-06,2.92E-06,1.22E-06,4.87E-06,3.08E-06,4.08E-06,3.08E-06,1.19E-06,0.13845326,0.000136122,4.35E-07,0.860567153,0.00028625,0.000105806,5.24E-06,9.07E-05,1.61E-06,0.000116229,2.01E-06,"breast cancer, invasive, ductal"
"benign, cyst, na",0.002522756,0.002304656,0.007408971,0.001065283,0.000793946,0.006629102,0.937421381,0.000444486,0.004011772,0.000700119,0.001370547,0.002309817,0.004540236,0.003503708,0.003306964,0.000158244,0.002326909,0.002711181,0.002059394,0.001272113,0.003913032,0.000587371,0.007904617,0.000733537,"benign, cyst, na"
"benign, cyst, na",0.003541943,0.003113776,0.009065273,0.001505946,0.001122368,0.004797762,0.912349582,0.000628351,0.005101142,0.000989729,0.001931608,0.003023098,0.005424946,0.005855124,0.004514498,0.000223702,0.004247826,0.004304814,0.002911279,0.001798333,0.005941836,0.000830342,0.015739771,0.00103697,"benign, cyst, na"
"breast cancer, invasive, ductal",0.000588504,0.000401298,0.000852791,0.000272902,0.000218619,0.000531597,0.000903204,0.000120612,0.000761896,0.000189978,0.00035695,0.000529592,0.000619458,0.012923515,0.000566284,4.29E-05,0.936785042,0.007312096,0.007378408,0.00070843,0.001677335,0.000159384,0.025900027,0.000199046,"breast cancer, invasive, ductal"
"breast cancer, na, na",0.002858021,0.002512529,0.007104037,0.001215159,0.000905648,0.003210238,0.005045098,0.000507021,0.004074577,0.00079862,0.001500526,0.002776756,0.003844206,0.004589199,0.003642783,0.000180507,0.003427602,0.003473587,0.002349133,0.001451088,0.00604683,0.000670009,0.936980307,0.000836739,"breast cancer, na, na"
"atypical, flat epithelial atypia, na",0.005236835,0.003398742,0.002651326,0.913288057,0.026659444,0.000729513,0.000741421,0.00023235,0.001840856,0.000522234,0.000770233,0.001358085,0.019831033,0.004709256,0.003289601,8.27E-05,0.001737276,0.001823041,0.001282208,0.000680434,0.001525746,0.000307041,0.006919102,0.000383448,"atypical, flat epithelial atypia, na"
"atypical, fibroadenoma, na",0.000140796,0.000169108,0.997070789,0.000183562,4.43E-05,0.000104959,0.000132826,2.48E-05,0.000183507,3.99E-05,7.36E-05,0.000185959,8.05E-05,0.000307325,0.000173799,8.83E-06,0.000129866,0.000122817,0.000111384,7.10E-05,0.000156417,3.28E-05,0.000409825,4.09E-05,"atypical, fibroadenoma, na"
"benign, radial scar, na",0.026412603,0.032948088,0.01374412,0.012726474,0.00249249,0.422657281,0.023997698,0.001395404,0.010607135,0.002197932,0.105645828,0.013368831,0.247825533,0.021598773,0.011626844,0.000496785,0.009943018,0.00805075,0.008330694,0.004304641,0.007007308,0.001843975,0.008475129,0.002302843,"benign, apocrine metaplasia, na"
