Single Label  Derived,"atypical, atypical ductal hyperplasia, na","atypical, atypical lobular hyperplasia, na","atypical, fibroadenoma, na","atypical, flat epithelial atypia, na","atypical, phyllodes, na","benign, apocrine metaplasia, na","benign, cyst, na","benign, mastitis, na","benign, papilloma, na","benign, pseudoangiomatous stromal hyperplasia, na","benign, radial scar, na"," benign, sclerosing adenosis, na","benign, usual ductal hyperplasia, na","breast cancer, in situ, ductal","breast cancer, in situ, lobular","breast cancer, in situ, na","breast cancer, invasive, ductal","breast cancer, invasive, lobular","breast cancer, invasive, na","breast cancer, metastasis, na","breast cancer, na, ductal","breast cancer, na, lobular","breast cancer, na, na","lymphoma, na, na",Scored Labels
"benign, cyst, na",1.71E-08,2.85E-07,1.14E-06,9.54E-08,3.86E-06,2.42E-06,0.999996126,1.84E-05,1.81E-06,1.88E-07,7.94E-06,1.84E-08,1.18E-08,1.93E-07,1.70E-07,1.83E-07,9.19E-06,4.99E-06,1.44E-09,8.53E-06,1.20E-07,4.32E-07,1.67E-06,4.88E-06,"benign, cyst, na"
"atypical, fibroadenoma, na",2.64E-06,1.76E-06,0.999998748,5.11E-08,1.14E-06,1.58E-09,4.48E-06,0.000195043,1.97E-07,1.58E-09,6.32E-07,2.74E-07,5.02E-10,7.09E-07,6.53E-07,6.43E-08,3.38E-05,9.28E-05,5.92E-09,4.34E-06,3.28E-06,4.83E-07,2.18E-05,8.52E-06,"atypical, fibroadenoma, na"
"breast cancer, invasive, ductal",2.30E-14,8.64E-15,3.00E-11,1.56E-12,6.90E-09,5.32E-20,4.17E-12,9.85E-13,8.72E-18,2.44E-16,3.25E-12,8.90E-18,6.37E-22,0.000939417,1.93E-15,8.98E-09,0.980050564,2.60E-09,6.02E-13,4.54E-08,1.81E-12,2.98E-12,4.05E-15,4.25E-12,"breast cancer, invasive, ductal"
"benign, cyst, na",3.19E-08,2.26E-07,3.20E-06,6.01E-08,9.64E-07,4.94E-05,0.999987185,3.48E-06,1.07E-06,3.64E-07,5.40E-06,5.66E-08,1.23E-07,1.41E-08,1.01E-07,1.12E-07,7.30E-06,5.80E-06,1.66E-08,6.34E-06,8.14E-09,8.62E-08,4.04E-07,1.77E-06,"benign, cyst, na"
"benign, cyst, na",1.71E-08,2.85E-07,1.14E-06,9.54E-08,3.86E-06,2.42E-06,0.999996126,1.84E-05,1.81E-06,1.88E-07,7.94E-06,1.84E-08,1.18E-08,1.93E-07,1.70E-07,1.83E-07,9.19E-06,4.99E-06,1.44E-09,8.53E-06,1.20E-07,4.32E-07,1.67E-06,4.88E-06,"benign, cyst, na"
"breast cancer, invasive, ductal",4.50E-13,9.86E-15,1.50E-11,7.00E-12,1.08E-06,3.82E-12,1.08E-09,6.55E-09,3.58E-13,2.97E-08,7.02E-11,2.20E-11,1.06E-11,1.67E-10,2.37E-20,2.84E-08,0.999973118,1.90E-07,2.75E-06,4.44E-06,5.11E-10,1.54E-12,1.17E-05,5.19E-09,"breast cancer, invasive, ductal"
"breast cancer, na, na",1.12E-07,1.38E-07,1.67E-06,3.82E-08,3.46E-07,1.46E-06,7.46E-07,7.49E-05,8.18E-09,4.08E-08,1.65E-08,4.13E-07,2.69E-07,2.74E-09,9.06E-10,1.38E-06,8.88E-06,6.12E-06,5.68E-07,3.72E-06,7.67E-07,5.15E-07,0.999998271,5.84E-07,"breast cancer, na, na"
"atypical, flat epithelial atypia, na",6.29E-07,7.10E-07,1.91E-10,0.996209919,0.033171374,3.93E-14,4.27E-09,2.27E-08,8.21E-11,2.68E-06,2.78E-08,1.85E-12,4.34E-06,2.88E-09,1.39E-05,1.04E-07,1.07E-10,5.63E-07,1.46E-12,5.99E-07,3.49E-07,1.15E-07,0.00071866,8.04E-11,"atypical, flat epithelial atypia, na"
"atypical, fibroadenoma, na",3.97E-09,8.21E-07,1,8.92E-07,2.48E-08,2.03E-14,3.69E-08,7.76E-09,9.79E-11,2.96E-12,4.37E-08,1.59E-11,1.54E-16,3.89E-07,3.14E-09,1.77E-09,1.13E-06,1.86E-07,4.04E-12,1.59E-07,8.73E-10,3.72E-10,4.07E-09,1.47E-09,"atypical, fibroadenoma, na"
"benign, radial scar, na",5.85E-08,1.55E-05,9.81E-07,1.24E-06,6.80E-08,0.999999762,7.31E-08,8.64E-09,5.65E-13,4.71E-09,0.00088447,1.17E-10,2.92E-10,1.81E-05,1.27E-07,8.07E-07,4.22E-09,7.24E-08,2.00E-06,7.54E-07,4.71E-10,1.67E-07,1.03E-07,3.55E-08,"benign, apocrine metaplasia, na"
