Single Label  Derived,"atypical, atypical ductal hyperplasia, na","atypical, atypical lobular hyperplasia, na","atypical, fibroadenoma, na","atypical, flat epithelial atypia, na","atypical, phyllodes, na","benign, apocrine metaplasia, na","benign, cyst, na","benign, mastitis, na","benign, papilloma, na","benign, pseudoangiomatous stromal hyperplasia, na","benign, radial scar, na"," benign, sclerosing adenosis, na","benign, usual ductal hyperplasia, na","breast cancer, in situ, ductal","breast cancer, in situ, lobular","breast cancer, in situ, na","breast cancer, invasive, ductal","breast cancer, invasive, lobular","breast cancer, invasive, na","breast cancer, metastasis, na","breast cancer, na, ductal","breast cancer, na, lobular","breast cancer, na, na","lymphoma, na, na",Scored Labels
"benign, cyst, na",1.65E-08,5.37E-07,5.80E-07,1.42E-07,3.32E-06,3.09E-07,0.999997616,2.67E-06,5.06E-06,5.32E-07,5.40E-06,1.35E-07,1.84E-08,2.28E-07,2.46E-07,1.45E-06,1.15E-07,7.14E-08,4.93E-07,1.56E-07,9.87E-08,5.23E-08,1.65E-07,2.10E-06,"benign, cyst, na"
"atypical, fibroadenoma, na",9.13E-07,1.04E-06,0.99990499,6.09E-07,8.36E-07,8.75E-08,1.01E-06,4.75E-05,3.19E-07,5.76E-08,3.81E-07,3.19E-07,4.63E-07,2.72E-06,2.29E-07,2.55E-07,2.04E-06,3.64E-06,2.35E-08,4.95E-07,5.19E-07,1.66E-06,1.83E-06,6.89E-07,"atypical, fibroadenoma, na"
"breast cancer, invasive, ductal",9.09E-12,3.87E-09,3.91E-09,2.13E-12,2.71E-08,3.13E-14,1.59E-09,4.19E-14,1.60E-11,4.77E-12,2.11E-09,2.61E-15,5.19E-16,0.003054737,6.84E-11,1.52E-08,0.024483981,8.30E-11,2.52E-09,8.24E-09,2.22E-09,2.73E-09,1.46E-11,1.11E-09,"breast cancer, invasive, ductal"
"benign, cyst, na",3.50E-08,2.66E-07,6.59E-07,1.45E-07,3.46E-06,3.01E-06,0.999996006,9.14E-08,2.30E-06,8.46E-07,4.84E-06,3.34E-07,9.09E-08,3.14E-08,2.93E-07,2.05E-06,3.13E-07,1.35E-07,8.09E-07,2.42E-07,9.99E-08,4.26E-08,2.76E-07,1.45E-06,"benign, cyst, na"
"benign, cyst, na",1.65E-08,5.37E-07,5.80E-07,1.42E-07,3.32E-06,3.09E-07,0.999997616,2.67E-06,5.06E-06,5.32E-07,5.40E-06,1.35E-07,1.84E-08,2.28E-07,2.46E-07,1.45E-06,1.15E-07,7.14E-08,4.93E-07,1.56E-07,9.87E-08,5.23E-08,1.65E-07,2.10E-06,"benign, cyst, na"
"breast cancer, invasive, ductal",1.07E-09,8.31E-13,9.97E-08,8.79E-10,2.27E-07,5.09E-11,6.80E-08,1.10E-08,2.14E-08,9.78E-09,1.19E-08,5.77E-09,2.36E-10,7.81E-10,1.72E-13,4.89E-07,0.999998987,2.25E-06,2.33E-06,4.39E-07,3.21E-08,2.57E-08,1.33E-06,1.02E-07,"breast cancer, invasive, ductal"
"breast cancer, na, na",1.16E-07,5.08E-08,6.05E-08,7.88E-08,2.46E-07,1.78E-07,1.12E-07,1.25E-06,1.42E-07,1.51E-07,5.26E-08,2.63E-07,1.24E-08,1.06E-07,1.24E-08,1.58E-07,2.15E-09,4.26E-07,6.67E-08,2.74E-07,1.22E-08,5.71E-07,0.999998569,1.33E-07,"breast cancer, na, na"
"atypical, flat epithelial atypia, na",2.30E-05,9.45E-07,1.92E-07,0.95323205,0.067315064,1.26E-08,2.44E-05,3.94E-09,3.56E-06,9.68E-06,3.55E-06,2.27E-07,0.000172845,1.82E-07,7.44E-05,1.89E-05,2.12E-07,2.64E-07,4.15E-07,2.55E-06,1.36E-06,1.43E-06,0.000230318,3.91E-05,"atypical, flat epithelial atypia, na"
"atypical, fibroadenoma, na",6.05E-10,1.13E-07,0.999999285,1.06E-07,3.62E-08,3.71E-10,7.12E-09,9.16E-11,4.21E-10,8.56E-10,5.22E-08,3.32E-09,2.06E-09,8.24E-10,2.40E-09,9.19E-10,7.94E-08,2.74E-07,4.24E-10,4.05E-08,2.07E-08,1.36E-08,4.72E-08,9.65E-09,"atypical, fibroadenoma, na"
"benign, radial scar, na",1.25E-08,1.44E-06,5.35E-08,1.00E-07,8.84E-07,0.99990499,2.74E-08,9.15E-10,3.26E-11,1.34E-08,9.85E-05,6.63E-09,5.21E-06,0.000128658,1.29E-06,2.96E-07,1.50E-08,6.25E-08,3.20E-07,2.68E-07,1.09E-06,1.41E-07,8.82E-07,6.88E-07,"benign, apocrine metaplasia, na"
"benign, cyst, na",1.43E-08,8.86E-10,8.48E-06,1.04E-06,4.58E-08,4.69E-05,0.085355893,2.13E-11,1.71E-07,8.80E-08,3.55E-07,1.10E-09,2.77E-10,3.86E-13,2.23E-09,5.07E-09,3.21E-07,3.55E-09,3.42E-11,2.88E-09,3.90E-10,2.23E-09,8.24E-08,4.14E-08,"benign, cyst, na"
"benign, apocrine metaplasia, na",1.72E-06,4.01E-06,2.01E-07,3.64E-07,5.23E-07,0.000186406,1.84E-10,6.43E-09,1.63E-09,3.73E-09,7.25E-08,9.91E-07,0.999614656,1.83E-05,8.75E-07,2.69E-07,7.42E-06,8.60E-07,6.03E-10,1.07E-06,7.94E-08,6.22E-07,5.57E-07,7.87E-07,"benign, usual ductal hyperplasia, na"
"breast cancer, in situ, ductal",7.29E-10,5.62E-09,0.001025075,1.42E-10,2.00E-08,3.99E-11,5.23E-09,6.01E-11,1.82E-09,2.45E-11,2.11E-08,9.39E-10,1.92E-11,0.999769509,8.50E-09,1.70E-07,4.04E-07,3.29E-10,2.75E-08,1.01E-08,2.77E-10,1.18E-08,1.34E-10,2.13E-08,"breast cancer, in situ, ductal"
"breast cancer, in situ, ductal",1.43E-06,3.09E-10,1.34E-10,1.35E-09,8.28E-08,7.00E-09,5.11E-08,2.06E-08,2.47E-07,2.04E-08,4.02E-07,3.83E-08,3.24E-12,0.998302698,7.07E-06,7.27E-06,6.06E-05,1.41E-08,1.52E-09,2.96E-07,5.83E-09,2.60E-06,0.00190467,2.13E-06,"breast cancer, in situ, ductal"
"breast cancer, in situ, ductal",9.97E-10,1.82E-11,1.75E-09,6.19E-10,1.57E-07,4.51E-13,3.70E-09,1.76E-11,6.08E-09,1.57E-10,1.02E-09,9.34E-05,2.97E-05,0.895994961,8.87E-09,1.06E-07,0.004629172,2.96E-11,1.39E-10,1.67E-08,3.60E-08,1.11E-08,4.18E-10,2.24E-07,"breast cancer, in situ, ductal"
