Single Label  Derived,"atypical, atypical ductal hyperplasia, na","atypical, atypical lobular hyperplasia, na","atypical, fibroadenoma, na","atypical, flat epithelial atypia, na","atypical, phyllodes, na","benign, apocrine metaplasia, na","benign, cyst, na","benign, mastitis, na","benign, papilloma, na","benign, pseudoangiomatous stromal hyperplasia, na","benign, radial scar, na"," benign, sclerosing adenosis, na","benign, usual ductal hyperplasia, na","breast cancer, in situ, ductal","breast cancer, in situ, lobular","breast cancer, in situ, na","breast cancer, invasive, ductal","breast cancer, invasive, lobular","breast cancer, invasive, na","breast cancer, metastasis, na","breast cancer, na, ductal","breast cancer, na, lobular","breast cancer, na, na","lymphoma, na, na",Scored Labels
"benign, cyst, na",0.002043084,0.00162013,0.004944607,0.000938576,0.000662394,0.002744026,0.948568165,0.0005125,0.003323127,0.000511048,0.001224268,0.001914353,0.002929164,0.003455421,0.002777623,0.000178588,0.001967208,0.002278994,0.001723474,0.001112217,0.003413636,0.000661075,0.009692018,0.000804343,"benign, cyst, na"
"atypical, fibroadenoma, na",0.003497687,0.002773604,0.912324369,0.001606809,0.001133995,0.00230762,0.005672283,0.000877382,0.005399976,0.000874896,0.002011665,0.003240347,0.002078158,0.006536315,0.004755191,0.000305736,0.00336779,0.003901557,0.002950526,0.001904076,0.00680296,0.001131736,0.023168532,0.001377006,"atypical, fibroadenoma, na"
"breast cancer, invasive, ductal",6.50E-07,2.67E-05,2.48E-05,3.91E-07,2.22E-07,2.65E-07,4.00E-07,1.72E-07,6.59E-07,2.68E-07,4.04E-07,3.27E-07,1.30E-07,0.047918402,2.79E-05,5.99E-08,0.951866269,7.64E-05,2.17E-05,5.54E-07,8.32E-06,2.22E-07,2.45E-05,2.70E-07,"breast cancer, invasive, ductal"
"benign, cyst, na",0.001737379,0.001340819,0.004624524,0.00077136,0.000544382,0.004129121,0.958260655,0.000421194,0.003021751,0.00042,0.001006153,0.001693584,0.002777208,0.002267563,0.002397464,0.000146771,0.001207483,0.001771515,0.001416421,0.000914065,0.002775792,0.000543298,0.005150438,0.000661042,"benign, cyst, na"
"benign, cyst, na",0.002043084,0.00162013,0.004944607,0.000938576,0.000662394,0.002744026,0.948568165,0.0005125,0.003323127,0.000511048,0.001224268,0.001914353,0.002929164,0.003455421,0.002777623,0.000178588,0.001967208,0.002278994,0.001723474,0.001112217,0.003413636,0.000661075,0.009692018,0.000804343,"benign, cyst, na"
"breast cancer, invasive, ductal",0.000281553,0.000179041,0.000362602,0.000137019,9.67E-05,0.000261865,0.000425056,7.48E-05,0.000394089,7.46E-05,0.000171543,0.000271111,0.000300989,0.00570358,0.000270015,2.61E-05,0.960541189,0.004016653,0.008454697,0.00035346,0.00063384,9.65E-05,0.016755482,0.000117423,"breast cancer, invasive, ductal"
"breast cancer, na, na",0.001762327,0.001397494,0.00408279,0.000809599,0.000571369,0.001913611,0.002858008,0.000442074,0.002848686,0.000440821,0.001013587,0.001925775,0.00224731,0.002980584,0.002395927,0.000154047,0.001696878,0.001965819,0.001486637,0.000959378,0.003914755,0.000570231,0.960868299,0.000693812,"breast cancer, na, na"
"atypical, flat epithelial atypia, na",0.002058092,0.001030062,0.000764643,0.955574036,0.019907022,0.000217514,0.000222534,0.000105139,0.000681737,0.000172047,0.000272002,0.000440082,0.009729886,0.001740589,0.001473826,3.66E-05,0.000459251,0.000691174,0.000401887,0.00022817,0.000548618,0.000135619,0.002944426,0.00016501,"atypical, flat epithelial atypia, na"
"atypical, fibroadenoma, na",4.31E-05,3.69E-05,0.999059141,6.04E-05,1.35E-05,2.25E-05,3.84E-05,1.04E-05,6.84E-05,1.04E-05,2.40E-05,5.29E-05,1.45E-05,0.000105705,5.34E-05,3.64E-06,3.02E-05,4.18E-05,3.51E-05,2.27E-05,6.05E-05,1.35E-05,0.000163171,1.64E-05,"atypical, fibroadenoma, na"
"benign, radial scar, na",0.016736725,0.01922344,0.008179102,0.007320654,0.001496755,0.499423355,0.017831832,0.001158053,0.007326629,0.001154771,0.147928104,0.00778107,0.209247291,0.014287099,0.008162715,0.00040354,0.005488358,0.005532994,0.005283936,0.002697003,0.005658253,0.001493773,0.004367108,0.001817504,"benign, apocrine metaplasia, na"
